fips,date,zhvi
Solano County,2025-09-30,589214.9620173607
Santa Barbara County,2025-09-30,1039197.6335734272
Monterey County,2025-09-30,866468.927107232
Placer County,2025-09-30,695592.28218527
San Luis Obispo County,2025-09-30,925086.4396743668
Merced County,2025-09-30,419294.9118132872
Santa Cruz County,2025-09-30,1171694.6857572773
Marin County,2025-09-30,1593827.3833063708
Butte County,2025-09-30,404328.18411799474
Yolo County,2025-09-30,631681.9466096318
El Dorado County,2025-09-30,657897.259510067
Shasta County,2025-09-30,374981.0113080801
Imperial County,2025-09-30,367847.18148815056
Madera County,2025-09-30,417794.7521169081
Kings County,2025-09-30,356245.0507078665
Napa County,2025-09-30,913570.8134708144
Humboldt County,2025-09-30,431435.8782193213
Nevada County,2025-09-30,616436.1704757771
Sutter County,2025-09-30,438817.1458179287
Mendocino County,2025-09-30,499678.359864352
Yuba County,2025-09-30,423283.1986915863
